"","V1","V2","V3","V4","V5","V6","V7","V8"
"192",7.958333,1.615299,-1.010937,21.57123,239.6714,299.2617,237.0835,0.7753346
"193",8,2.638183,-0.6164835,21.53703,77.33557,107.0152,60.66302,0.7361787
"194",8.041667,2.897627,-0.8834368,20.84151,2.464301,5.822286,1.029803,0.7330963
"195",8.083333,3.855454,-0.6292335,18.7005,0,-0.0003237526,1.293504e-13,0.2292738
"196",8.125,3.564657,-0.3335926,17.18532,0,-0.0003237526,1.293504e-13,0.1722644
"197",8.166667,2.722052,-0.9838431,16.03754,0,-0.0003237526,1.293504e-13,0.04382525
"198",8.208333,2.458689,-1.32889,14.38047,0,-0.0003237526,1.293504e-13,0.2276563
"199",8.25,2.32152,-1.605406,13.88386,0,-0.0003237526,1.293504e-13,0.2654083
"200",8.291667,2.173379,-1.844469,12.88936,0,-0.0003237526,1.293504e-13,0.3222956
"201",8.333333,2.160054,-2.043688,11.73271,0,-0.0003237526,1.293504e-13,0.4200174
"202",8.375,2.048751,-1.948063,11.35898,0,-0.0003237526,1.293504e-13,0.2615324
"203",8.416667,2.379523,-2.056438,14.97083,15.72804,28.38992,15.75217,0.139197
"204",8.458333,2.400686,-2.184735,16.09328,125.3894,168.9357,117.8362,0.2069034
"205",8.5,2.689132,-2.184735,17.8897,296.8396,358.8933,286.8001,0.1315673
"206",8.541667,2.661698,-1.786297,19.9585,478.8173,548.9914,452.8273,0.09924771
"207",8.583333,2.261166,-1.109749,24.31401,647.1146,708.29,622.5159,0
"208",8.625,1.722683,-0.574249,26.14844,785.0974,878.7118,785.1104,0
"209",8.666667,1.271203,-0.4810146,27.11506,881.187,978.8004,881.1872,0
"210",8.708333,0.9647297,-0.5686709,30.077,927.0846,1026.385,927.0706,0
"211",8.75,0.8518597,-0.6244522,30.82446,918.6951,1017.451,918.7178,0
"212",8.791667,0.7938571,-0.7288429,31.60105,858.5734,954.6667,858.5696,0
"213",8.833333,1.032138,-0.8037492,33.06555,746.5745,837.7527,746.569,0
"214",8.875,1.29942,-0.7272492,33.57737,594.6939,678.675,594.7112,0
"215",8.916667,1.789307,-1.046796,31.65046,416.9924,490.9862,416.9939,0
"216",8.958333,2.276843,-0.9798587,31.6796,232.9671,292.6762,232.9643,0
"217",9,2.926629,-0.4324052,31.02209,74.45451,110.2679,74.45094,0
"218",9.041667,3.400839,-0.1240143,29.53858,2.283103,5.98291,2.269381,0
"219",9.083333,3.431408,-0.02281112,25.07033,0,-0.0003237526,1.293504e-13,0
"220",9.125,2.372469,-0.3495301,24.01376,0,-0.0003237526,1.293504e-13,0
"221",9.166667,1.260229,-0.8141086,22.09318,0,-0.0003237526,1.293504e-13,0
"222",9.208333,0.7883704,-1.127281,20.36137,0,-0.0003237526,1.293504e-13,0
"223",9.25,0.8393186,-1.207765,19.16924,0,-0.0003237526,1.293504e-13,0
"224",9.291667,1.114439,-1.331281,17.92264,0,-0.0003237526,1.293504e-13,0
"225",9.333333,1.520457,-1.794266,16.27064,0,-0.0003237526,1.293504e-13,0.02923718
"226",9.375,1.937449,-2.108235,15.43197,0,-0.0003237526,1.293504e-13,0.1784597
"227",9.416667,2.509637,-2.30825,19.51383,15.0576,27.08485,14.97028,0.5615797
"228",9.458333,3.308349,-2.291516,22.29841,124.7552,168.7349,118.8088,0.7915401
"229",9.5,5.020993,-2.297891,23.11175,296.9121,351.2034,266.3757,0.8646178
"230",9.541667,5.786784,-2.567235,23.78065,480.9192,538.4304,418.4814,0.8338547
"231",9.583333,6.427165,-3.003923,26.98204,652.3331,723.7099,603.6362,0.8745975
"232",9.625,7.428885,-2.579188,28.69611,792.3997,867.7291,724.352,0.8815559
"233",9.666667,8.054373,-1.975156,28.7924,888.4531,970.2071,834.3121,0.638457
"234",9.708333,8.268355,-1.727328,29.07237,934.0789,949.326,823.2512,0.706148
"235",9.75,8.390631,-1.60939,29.33208,927.2477,1020.543,903.6712,0.6585079
"236",9.791667,8.294221,-1.240437,28.91528,868.7205,962.0755,852.3527,0.4985122
"237",9.833333,7.901528,-0.6778429,27.41151,759.4034,847.5307,748.8384,0.450811
"238",9.875,7.381072,-0.1829831,27.02384,607.5046,693.1311,610.9211,0.4038729
"239",9.916667,6.618416,0.1987203,23.51714,428.2992,505.9242,432.0977,0.1546702
"240",9.958333,6.108934,0.412283,22.14766,241.0123,305.1647,245.4173,0.08542261
"241",10,5.459148,0.3102829,20.70469,77.62549,113.3599,77.13987,0.02615476
"242",10.04167,4.848553,-0.2483269,18.89433,2.373702,6.223845,2.460085,0.1576915
"243",10.08333,4.586757,-0.626046,16.39606,0,-0.0003237526,1.293504e-13,0.8037782
"244",10.125,4.12352,-0.856343,15.46745,0,-0.0003237526,1.293504e-13,0.9553813
"245",10.16667,3.458058,-1.230078,15.03291,0,-0.0003237526,1.293504e-13,0.9054217
"246",10.20833,2.881951,-1.199,13.98901,0,-0.0003237526,1.293504e-13,0.3224177
"247",10.25,2.289384,-1.054765,13.01858,0,-0.0003237526,1.293504e-13,0.06003082
"248",10.29167,1.709358,-1.195015,12.34588,0,-0.0003237526,1.293504e-13,0.001556468
"249",10.33333,1.605894,-1.477109,11.26017,0,-0.0003237526,1.293504e-13,0.1208246
"250",10.375,1.833201,-1.733703,10.93965,0,-0.0003237526,1.293504e-13,0.06460867
"251",10.41667,2.207083,-1.778328,10.55325,14.51401,26.20142,14.1884,0.3845849
"252",10.45833,2.69697,-1.862797,13.26182,125.3894,165.3618,113.9839,0.8468863
"253",10.5,3.067716,-1.659594,14.41214,301.6957,304.8032,180.883,0.9299895
"254",10.54167,3.097501,-1.342437,15.53712,490.3235,444.2046,210.4803,0.9415562
"255",10.58333,3.150801,-1.31375,19.25666,665.3613,666.0861,420.5601,0.9899898
"256",10.625,3.501168,-1.643656,21.41667,809.2511,776.4748,463.8309,1
"257",10.66667,4.223065,-2.033328,22.40103,907.5876,844.1174,447.4113,0.9577007
"258",10.70833,5.189514,-2.154453,24.46223,952.1081,974.0419,706.7309,0.2216135
"259",10.75,6.046228,-1.946469,24.97658,941.816,1027.369,890.4173,0
"260",10.79167,6.76891,-1.468343,25.22995,877.3637,978.6398,888.4149,0
"261",10.83333,7.181982,-1.277093,24.29754,761.9945,855.08,765.8302,0
"262",10.875,7.234498,-1.403797,23.4576,606.2181,690.7419,606.6493,0
"263",10.91667,7.178063,-1.610984,19.78748,425.5268,501.5874,427.9022,0.03000015
"264",10.95833,6.853562,-1.978344,18.61182,238.3668,298.5188,238.3803,0.5299315
"265",11,6.481248,-2.148078,17.31708,76.12154,109.7257,70.42708,0.05075306
"266",11.04167,6.502411,-2.332954,16.92308,2.246863,5.822286,2.269381,0.4776677
"267",11.08333,6.252373,-2.678798,14.70606,0,-0.0003237526,1.293504e-13,0.05154655
"268",11.125,5.762486,-2.971251,13.15541,0,-0.0003237526,1.293504e-13,0.01998993
"269",11.16667,5.782865,-3.242189,12.45989,0,-0.0003237526,1.293504e-13,0.02691774
"270",11.20833,5.539098,-3.584845,11.60602,0,-0.0003237526,1.293504e-13,0
"271",11.25,5.27887,-3.715533,11.4388,0,-0.0003237526,1.293504e-13,0.3415531
"272",11.29167,5.011587,-3.796814,11.22089,0,-0.0003237526,1.293504e-13,0.5153739
"273",11.33333,4.684735,-4.051017,10.88137,0,-0.0003237526,1.293504e-13,0.433049
"274",11.375,4.408047,-4.136283,11.13855,0,-0.0003237526,1.293504e-13,0.4892039
"275",11.41667,4.637706,-4.454236,13.51266,13.08254,20.98115,9.306368,0.5161674
"276",11.45833,4.0906,-4.92758,14.27025,119.5548,139.3608,79.61903,0.4322555
"277",11.5,5.32825,-4.713221,15.82977,291.3311,315.8662,233.4983,0.4137305
"278",11.54167,7.038543,-3.834267,16.64944,475.5739,492.2712,382.7816,0.09476142
"279",11.58333,8.752756,-3.242189,18.60802,647.7488,681.6265,547.8743,0.327728
"280",11.625,8.396118,-3.647798,19.23765,789.6092,763.5646,543.7551,0.2155097
"281",11.66667,8.410227,-4.025517,19.53537,890.1744,864.2556,659.8558,0.1784902
"282",11.70833,9.004361,-4.125127,21.32039,938.3552,940.7928,755.7038,0.469214
"283",11.75,9.569495,-4.25183,21.01761,929.4221,826.3484,588.9138,0.6214274
"284",11.79167,9.810127,-4.853471,20.84911,862.5054,847.9523,635.7889,0.5562083
"285",11.83333,9.306916,-5.424034,20.84025,742.8056,609.5265,379.0247,0.9599286
"286",11.875,8.342034,-5.086159,20.78957,587.5003,435.9927,258.0991,0.780065
"287",11.91667,7.65776,-4.63194,16.67097,410.2699,219.4117,89.4403,0.6900035
"288",11.95833,6.558062,-5.122815,16.06668,228.3646,157.5916,78.6083,0
"289",12,5.738971,-5.064643,15.14059,71.73653,109.525,73.00159,0.003082416
"290",12.04167,5.366657,-5.416065,14.7808,1.938825,5.159713,1.77355,0.2138007
"291",12.08333,5.262409,-5.752347,14.35387,0,-0.0003237526,1.293504e-13,0.2061404
"292",12.125,5.459148,-5.805737,13.85345,0,-0.0003237526,1.293504e-13,0.1753468
"293",12.16667,5.337656,-5.962722,13.86739,0,-0.0003237526,1.293504e-13,0.236873
"294",12.20833,5.222435,-5.760315,13.45439,0,-0.0003237526,1.293504e-13,0.202997
"295",12.25,5.248301,-5.630425,13.10093,0,-0.0003237526,1.293504e-13,0.1715014
"296",12.29167,5.287492,-4.557033,13.17441,0,-0.0003237526,1.293504e-13,0.7314483
"297",12.33333,4.695708,-3.214298,12.77788,0,-0.0003237526,1.293504e-13,0.583889
"298",12.375,3.771586,-2.427782,12.51057,0,-0.0003237526,1.293504e-13,0.7546732
"299",12.41667,6.815939,-1.371125,12.21539,11.83227,18.35094,8.257494,0.9830925
"300",12.45833,5.771892,-2.451688,11.11448,116.6375,47.54429,2.421944,1
"301",12.5,5.901222,-2.789563,11.91387,293.9404,218.8495,102.0077,1
"302",12.54167,7.324637,-2.008625,13.21115,484.4526,410.333,179.1285,0.4324081
"303",12.58333,8.787244,-1.541656,15.50545,659.7079,639.5832,399.3729,0.1776967
"304",12.625,9.521682,-1.2245,15.41677,807.421,840.1621,694.0682,0.2876566
"305",12.66667,9.612605,-0.5216553,16.03247,909.1097,873.9934,638.3634,0.3753987
"306",12.70833,9.574982,0.3333923,17.12958,953.7933,996.5092,789.1914,0.6869211
"307",12.75,9.542845,1.238643,16.48601,944.2441,933.2636,699.1409,0.6946119
"308",12.79167,9.164261,0.8521583,16.54175,886.3693,707.3865,352.7838,0.2800269
